state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average,total_population,foreign_born_est_prop,l1_africa,l1_americas,l1_asia,l1_europe,l1_oceania,l2_africa_eastern_africa,l2_africa_middle_africa,l2_africa_northern_africa,l2_africa_southern_africa,l2_africa_western_africa,l2_americas_latin_america,l2_americas_northern_america,l2_asia_eastern_asia,l2_asia_south_central_asia,l2_asia_south_eastern_asia,l2_asia_western_asia,l2_europe_eastern_europe,l2_europe_northern_europe,l2_europe_southern_europe,l2_europe_western_europe,l2_oceania_australia_nzealand_subregion,origin_prop
Pennsylvania,Philadelphia,Tajikistan,0,0,0,0,0,0,0,15,0,0,3,-100,1569657,13.38,10.1529922504237,33.4283783011862,39.8155905481826,16.473085930806,0.12995296940155,1.15624821493174,0.696414630895485,1.55039128696281,0.173270625868733,5.77219672880291,32.6362840115006,0.792094289685638,13.538909727908,10.0877777566214,12.8225023324892,3.12267941126069,11.0479064719435,1.44852339153449,2.44102134465622,1.53135055884537,0.120908623545764,
Tennessee,Chattanooga,Somalia,0,0,8,0,6,4,4,1,0,0,3,-100,176291,5.86,4.79876160990712,52.8637770897833,34.8103715170279,7.29489164086687,0.232198142414861,1.23839009287926,0.0870743034055727,0.0870743034055727,0.696594427244582,2.68962848297214,51.0448916408669,1.81888544891641,8.18498452012384,15.7991486068111,9.21052631578947,1.61571207430341,2.31230650154799,1.06424148606811,0.551470588235294,3.36687306501548,0.232198142414861,0
Tennessee,La Vergne,Burma,8,4,17,13,7,0,0,4,4,0,3,-100,34905,12.59,9.55848884842968,71.7341829767865,18.0700955848885,0.637232589895312,0,1.43377332726445,0,0.637232589895312,0,7.48748293126991,71.4838416021848,0.25034137460173,1.86618115612198,0.409649522075558,7.51024123805189,8.28402366863905,0,0.273099681383705,0,0.364132908511607,0,0
Texas,Cypress,Iraq,0,0,2,1,3,1,0,8,3,0,3,-100,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Fort Worth,Republic of South Sudan,0,0,0,0,8,0,0,5,2,0,3,-100,835129,16.86,5.7808682311495,71.431615432695,18.3341383033127,4.23319506790159,0.22018296494119,1.76501505767373,0.914114438320359,0.740809136882777,0.198164668447071,1.51926245809421,70.2042729700551,1.22734246263992,2.1634751974544,6.52167736803228,8.3868401613728,1.1385590090346,1.74512756406614,0.92831979089721,0.648474345133246,0.908432297289619,0.185379851127905,
Texas,Houston,Honduras,0,0,0,0,0,0,0,11,4,8,3,166.67,2267336,29.21,5.92084601633087,69.8321314683287,20.0605764120404,3.95362250567715,0.232823597622844,1.23961202106585,0.764452577668261,0.54053727593371,0.193566700487993,2.57495047591438,69.0752282939556,0.756903174373098,4.76518335990723,6.51000144948543,6.65676184954341,2.03033652220129,1.31450210175388,1.21786973957578,0.482255882495048,0.927670676909697,0.212440208725902,5.31734671691549
Utah,Salt Lake City,Pakistan,0,0,0,0,2,5,0,5,3,3,3,0,194188,16.39,4.58614732212973,53.9940317260876,26.3420763310821,11.9993717606408,3.07837286005968,1.91298884875137,0.424061567457201,0.785299198994817,0.0596827391236061,0.537144652112455,51.5030626668761,2.49096905921156,10.3251138683839,7.0299984294016,6.44573582534946,2.47840427202764,5.23637505889744,2.59776975027485,0.892099890058112,3.2731270614104,0.540285848908434,0.543427045704413
Virginia,Falls Church,Pakistan,0,0,0,0,0,0,0,7,8,4,3,33.33,13843,18.07,9.51239008792966,31.4148681055156,43.8049560351719,11.3109512390088,3.9568345323741,0,1.43884892086331,2.79776179056755,0.319744204636291,4.95603517186251,29.6163069544364,1.79856115107914,11.6706634692246,15.7074340527578,14.6282973621103,1.79856115107914,5.07593924860112,4.47641886490807,0.279776179056755,1.47881694644285,3.9568345323741,0
Virginia,Richmond,El Salvador,0,0,0,0,0,0,0,7,8,2,3,-33.33,220892,6.41,11.4876791640189,56.901786344701,21.3584692508649,9.89903269081409,0.353032549601073,2.26646896843889,1.09440090376333,0.691943797218104,0.515427522417567,6.49579891265975,55.0165925298313,1.88519381486973,7.78789804419967,6.29104003389113,4.46939207794959,2.81013909482454,2.63362282002401,2.85956365176869,1.16500741368354,3.24083880533785,0.282426039680859,9.99788180470239
Washington,Everett,Russia,8,4,0,1,0,0,0,15,0,13,3,333.33,107560,17.96,5.85494642025159,32.3497437490294,39.9958585701714,16.3327638867319,5.46668737381581,1.12336284102086,0.595330537868199,1.02500388259046,0.258839364290521,2.85240979448154,29.8390019154113,2.51074183361806,6.6521716622664,7.52704871356836,22.2964228399855,3.45809390692136,14.0705078428327,1.13889320287829,0.170833980431744,0.952528860589118,0.0828285965729668,2.89900088005384
Washington,Kirkland,Iran,1,9,10,4,1,2,3,6,3,0,3,-100,86772,22.29,3.0498836908762,20.0206771775653,53.3884724735074,22.1142414060481,1.4267252520031,2.18661152752649,0.0516929439131559,0.392866373739985,0.279141897131042,0.139570948565521,14.0036185060739,6.01705867149134,18.8679245283019,17.2912897389506,11.4603256655467,5.71723959679504,11.6774360299819,4.95218402688033,1.21995347635048,4.26466787283536,1.06487464461101,6.2341690359266
Washington,Pasco,Iraq,0,0,0,5,3,6,5,1,0,0,3,-100,70607,23.94,1.47902739158729,88.4872507838845,5.60255575933266,4.30692776430219,0.124238300893333,1.47902739158729,0,0,0,0,87.5761699106667,0.911080873217772,0.378631012246347,0.449624327042537,4.72697154351299,0.0473288765307934,3.79814234159617,0,0.301721587883808,0.207063834822221,0.124238300893333,0
