state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average
Washington,Seattle,Eritrea,73,115,52,39,47,56,55,87,52,30,59.4,-49.49
California,San Diego,Iran,32,33,45,53,55,66,64,77,34,0,59.2,-100
Pennsylvania,Pittsburgh,Dem. Rep. Congo,0,0,0,0,16,10,68,141,60,50,59,-15.25
Pennsylvania,Pittsburgh,Iraq,68,24,13,18,54,83,70,49,38,0,58.8,-100
Illinois,Rockford,Dem. Rep. Congo,11,22,1,25,11,39,70,81,92,80,58.6,36.52
Texas,Arlington,Iraq,22,25,6,30,86,48,82,32,45,0,58.6,-100
North Carolina,Durham,Dem. Rep. Congo,0,0,0,17,2,30,63,145,50,70,58,20.69
Pennsylvania,Lancaster,Bhutan,137,261,383,341,90,63,73,36,28,27,58,-53.45
California,Oakland,Burma,12,29,57,38,78,71,100,34,6,15,57.8,-74.05
Indiana,Indianapolis,Somalia,0,48,29,35,47,58,26,64,94,4,57.8,-93.08
California,Turlock,Iran,241,115,43,28,35,38,65,92,58,0,57.6,-100
Michigan,Lansing,Burma,220,129,174,133,88,52,85,49,14,24,57.6,-58.33
Washington,Spokane,Dem. Rep. Congo,0,23,8,16,14,82,64,96,31,41,57.4,-28.57
Kentucky,Bowling Green,Dem. Rep. Congo,0,44,18,15,16,5,26,164,75,231,57.2,303.85
Nevada,Las Vegas,Somalia,24,4,28,34,54,48,92,54,38,0,57.2,-100
Iowa,Des Moines,Dem. Rep. Congo,13,2,0,0,1,11,65,140,68,96,57,68.42
New York,Rochester,Iraq,26,50,16,22,95,60,44,48,37,0,56.8,-100
Idaho,Boise,Burma,134,132,120,78,104,63,70,33,13,11,56.6,-80.57
North Carolina,Durham,Somalia,0,7,26,40,46,47,69,81,39,0,56.4,-100
Massachusetts,Worcester,Dem. Rep. Congo,9,10,0,6,28,70,65,69,48,19,56,-66.07
Nevada,Las Vegas,Iraq,99,95,43,61,106,63,44,24,40,3,55.4,-94.58
Florida,Orlando,Iraq,28,57,42,46,85,50,81,43,17,0,55.2,-100
New Mexico,Albuquerque,Dem. Rep. Congo,0,18,0,0,8,26,41,123,78,35,55.2,-36.59
Illinois,Rockford,Iraq,108,120,35,65,80,93,63,31,8,0,55,-100
Kentucky,Lexington,Iraq,48,64,35,29,52,89,74,25,33,0,54.6,-100
New Hampshire,Concord,Bhutan,226,198,197,149,91,79,27,33,43,27,54.6,-50.55
California,Anaheim,Iraq,59,86,24,65,93,61,44,59,15,0,54.4,-100
Florida,Tampa,Somalia,0,3,0,10,41,51,67,82,31,0,54.4,-100
New York,Albany,Afghanistan,1,4,3,7,26,22,32,156,36,21,54.4,-61.4
Pennsylvania,Pittsburgh,Burma,64,35,17,12,74,62,93,20,23,4,54.4,-92.65
Florida,Tampa,Iraq,61,63,26,63,67,85,58,24,37,0,54.2,-100
Nevada,Las Vegas,Eritrea,55,75,63,34,43,50,63,76,38,42,54,-22.22
California,Los Angeles,Iraq,14,34,30,57,90,71,33,56,16,0,53.2,-100
